
PSRJ	DM	dDM/dt
 	pc/cm3	pc/cm3/yr
-----------	---------	---------
J0014+4746 	  30.8500	  0.00500
J0034-0534 	  13.7632	 -7.00000
J0034-0721 	  11.3800	 -0.00700
J0040+5716 	  92.5950	 -0.00900
J0048+3412 	  39.9400	  0.00200
J0055+5117 	  44.1250	 -0.00040
J0056+4756 	  18.0900	 -0.00700
J0102+6537 	  65.8530	  0.00600
J0108+6608 	  30.4600	 -2.00000
J0108+6905 	  61.0920	 -0.01000
J0108-1431 	   2.3800	  0.00100
J0117+5914 	  49.4230	 -0.00190
J0134-2937 	  21.8060	 -0.00210
J0139+5814 	  73.7790	  5.00000
J0141+6009 	  34.7970	  0.00300
J0147+5922 	  40.1110	  0.00180
J0151-0635 	  25.6600	 -0.00300
J0152-1637 	  11.9220	 -0.00070
J0156+3949 	  60.0000	  0.02000
J0157+6212 	  30.2100	 -0.01400
J0215+6218 	  84.0000	 -0.00400
J0218+4232 	  61.2520	 -0.00090
J0231+7026 	  46.6400	 -0.00400
J0304+1932 	  15.7370	 -0.00100
J0323+3944 	  26.0100	  0.01100
J0332+5434 	  26.8330	 -2.00000
J0335+4555 	  47.1530	 -0.00030
J0343+5312 	  67.3000	 -0.02200
J0357+5236 	 103.7060	 -0.00020
J0358+5413 	  57.1530	 -0.00260
J0406+6138 	  65.3030	 -0.00050
J0415+6954 	  27.4650	 -0.00100
J0421-0345 	  44.6100	  0.03000
J0448-2749 	  26.2200	  0.00200
J0450-1248 	  37.0410	  0.00200
J0452-1759 	  39.9030	  0.00100
J0454+5543 	  14.4950	  0.00210
J0459-0210 	  21.0200	 -0.00500
J0502+4654 	  42.1870	  0.03000
J0520-2553 	  33.7700	  0.00300
J0525+1115 	  79.3450	  0.00470
J0528+2200 	  50.9370	  0.00500
J0538+2817 	  39.8600	  0.01700
J0543+2329 	  77.7115	 -0.00490
J0601-0527 	  80.5380	 -0.00200
J0612+3721 	  27.1350	 -0.00150
J0613-0200 	  38.7850	 -1.40000
J0614+2229 	  96.9100	 -1.30000
J0621+1002 	  36.6036	  0.00050
J0624-0424 	  70.8350	 -0.00500
J0629+2415 	  84.1950	 -0.00340
J0630-2834 	  34.4680	  0.00300
J0631+1036 	 125.4000	-10.00000
J0653+8051 	  33.3320	 -0.00300
J0659+1414 	  13.9770	 -0.00500
J0700+6418 	   8.7710	  8.00000
J0725-1635 	  98.9800	 -0.00200
J0729-1836 	  61.2930	 -4.00000
J0742-2822 	  73.7580	  3.00000
J0751+1807 	  30.2480	 -0.00020
J0754+3231 	  39.9490	 -0.00200
J0758-1528 	  63.3270	 -0.00010
J0814+7429 	   6.1160	 -0.00400
J0820-1350 	  40.9380	 -0.00040
